"Date","Close","Open","High","Low","Vol.","Change %"
"12/20/2024","0.9291","0.9317","0.9320","0.9286","","-0.22%"
"12/19/2024","0.9311","0.9329","0.9358","0.9305","","-0.14%"
"12/18/2024","0.9324","0.9369","0.9390","0.9322","","-0.43%"
"12/17/2024","0.9364","0.9401","0.9420","0.9355","","-0.34%"
"12/16/2024","0.9396","0.9381","0.9408","0.9350","","0.23%"
"12/13/2024","0.9374","0.9334","0.9390","0.9333","","0.40%"
"12/12/2024","0.9337","0.9281","0.9346","0.9275","","0.64%"
"12/11/2024","0.9278","0.9293","0.9306","0.9269","","-0.12%"
"12/10/2024","0.9289","0.9276","0.9299","0.9255","","0.19%"
"12/09/2024","0.9271","0.9291","0.9305","0.9269","","-0.13%"
"12/06/2024","0.9283","0.9303","0.9310","0.9258","","-0.18%"
"12/05/2024","0.9300","0.9295","0.9324","0.9288","","0.09%"
"12/04/2024","0.9292","0.9312","0.9329","0.9290","","-0.24%"
"12/03/2024","0.9314","0.9311","0.9328","0.9290","","0.06%"
"12/02/2024","0.9308","0.9318","0.9329","0.9287","","-0.09%"
"11/29/2024","0.9316","0.9320","0.9328","0.9292","","0.01%"
"11/28/2024","0.9315","0.9317","0.9332","0.9303","","0.01%"
"11/27/2024","0.9314","0.9300","0.9326","0.9276","","0.20%"
"11/26/2024","0.9295","0.9300","0.9328","0.9268","","-0.02%"
"11/25/2024","0.9297","0.9287","0.9349","0.9279","","-0.16%"
"11/22/2024","0.9312","0.9288","0.9326","0.9204","","0.30%"
"11/21/2024","0.9284","0.9320","0.9327","0.9278","","-0.38%"
"11/20/2024","0.9319","0.9348","0.9368","0.9304","","-0.29%"
"11/19/2024","0.9346","0.9360","0.9367","0.9303","","-0.12%"
"11/18/2024","0.9357","0.9356","0.9372","0.9345","","-0.03%"
"11/15/2024","0.9360","0.9376","0.9400","0.9345","","-0.14%"
"11/14/2024","0.9373","0.9361","0.9390","0.9348","","0.16%"
"11/13/2024","0.9358","0.9367","0.9390","0.9338","","-0.06%"
"11/12/2024","0.9364","0.9382","0.9392","0.9345","","-0.18%"
"11/11/2024","0.9381","0.9392","0.9403","0.9360","","0.00%"
"11/08/2024","0.9381","0.9428","0.9433","0.9366","","-0.48%"
"11/07/2024","0.9426","0.9404","0.9444","0.9390","","0.27%"
"11/06/2024","0.9401","0.9436","0.9442","0.9353","","-0.34%"
"11/05/2024","0.9433","0.9399","0.9438","0.9386","","0.37%"
"11/04/2024","0.9398","0.9461","0.9473","0.9393","","-0.28%"
"11/01/2024","0.9424","0.9401","0.9457","0.9393","","0.27%"
